No.,Country,Customer Name,Delivery Year ,Engine,Model Series,Order Month,Order Year,Region,Delivery Total,Order Total,Unfilled Orders
70,Argentina,Aerolineas Argentinas,2009,CF,737-700,Jun,2009,South America,1,1,
71,Argentina,Aerolineas Argentinas,1970,PW,737-200,Aug,1969,South America,6,6,
72,Argentina,Aerolineas Argentinas,,CF,737 MAX,Sep,2016,South America,0,9,9
73,Argentina,Aerolineas Argentinas,1966,PW,707/720,Sep,1965,South America,3,3,
74,Argentina,Aerolineas Argentinas,1967,PW,707/720,Sep,1965,South America,1,1,
75,Argentina,Aerolineas Argentinas,2017,CF,737 MAX,Sep,2016,South America,2,2,
76,Argentina,Aerolineas Argentinas,,CF,737-800,Oct,2013,South America,0,14,
77,Argentina,Aerolineas Argentinas,1971,PW,737-200,Oct,1971,South America,2,2,
78,Argentina,Aerolineas Argentinas,2016,CF,737-800,Oct,2013,South America,3,3,
79,Argentina,Aerolineas Argentinas,2017,CF,737-800,Oct,2013,South America,3,3,
80,Argentina,AUSTRAL - Cielos del Sur,,NS,MD-80,Aug,1990,South America,0,1,
81,Argentina,AUSTRAL - Cielos del Sur,,NS,MD-80,Nov,1988,South America,0,3,
82,Argentina,AUSTRAL - Cielos del Sur,,NS,MD-80,Dec,1978,South America,0,2,
83,Argentina,AUSTRAL - Cielos del Sur,1981,PW,MD-80,Dec,1978,South America,3,3,
84,Argentina,Estado Nacional Argentino ENA,1975,PW,707/720,Jun,1975,South America,1,1,
85,Argentina,LAPA Argentina,,CF,737-700,Mar,2000,South America,0,6,
86,Australia,Ansett Australia,1964,PW,727,Feb,1963,Oceania,2,2,
87,Australia,Ansett Australia,1969,PW,727,Feb,1969,Oceania,1,1,
88,Australia,Ansett Australia,1974,PW,727,Feb,1974,Oceania,1,1,
89,Australia,Ansett Australia,1975,PW,727,Feb,1974,Oceania,1,1,
90,Australia,Ansett Australia,1967,PW,DC-9,Mar,1965,Oceania,2,2,
91,Australia,Ansett Australia,1981,PW,727,Mar,1980,Oceania,4,4,
92,Australia,Ansett Australia,1981,PW,737-200,Mar,1980,Oceania,7,7,
93,Australia,Ansett Australia,1982,PW,737-200,Mar,1980,Oceania,5,5,
94,Australia,Ansett Australia,1983,GE,767-200,Mar,1980,Oceania,4,4,
95,Australia,Ansett Australia,1984,GE,767-200,Mar,1980,Oceania,1,1,
96,Australia,Ansett Australia,1965,PW,727,May,1965,Oceania,1,1,
97,Australia,Ansett Australia,1970,PW,727,May,1969,Oceania,1,1,
98,Australia,Ansett Australia,1978,PW,727,Jun,1977,Oceania,1,1,
99,Australia,Ansett Australia,1979,PW,727,Jun,1977,Oceania,2,2,
100,Australia,Ansett Australia,1980,PW,727,Jun,1979,Oceania,2,2,
101,Australia,Ansett Australia,1986,CF,737-300,Jun,1985,Oceania,10,10,
102,Australia,Ansett Australia,1987,CF,737-300,Jun,1985,Oceania,2,2,
103,Australia,Ansett Australia,1976,PW,727,Aug,1976,Oceania,1,1,
104,Australia,Ansett Australia,1968,PW,DC-9,Sep,1966,Oceania,2,2,
105,Australia,Ansett Australia,1969,PW,DC-9,Sep,1966,Oceania,1,1,
106,Australia,Ansett Australia,1966,PW,727,Oct,1965,Oceania,1,1,
107,Australia,Ansett Australia,1967,PW,DC-9,Oct,1965,Oceania,1,1,
108,Australia,Ansett Australia,1988,CF,737-300,Oct,1987,Oceania,4,4,
109,Australia,Ansett Australia,1970,PW,DC-9,Dec,1968,Oceania,2,2,
110,Australia,Ansett Australia,1971,PW,DC-9,Dec,1968,Oceania,4,4,
111,Australia,Ansett Australia,1972,PW,727,Dec,1970,Oceania,1,1,
112,Australia,Ansett Australia,1973,PW,727,Dec,1970,Oceania,1,1,
113,Australia,Ansett Australia,1974,PW,727,Dec,1970,Oceania,2,2,
114,Australia,Ansett Worldwide Av. Equipment,1992,CF,737-300,Jan,1992,Oceania,1,1,
115,Australia,Ansett Worldwide Av. Equipment,1992,CF,737-300,Mar,1992,Oceania,1,1,
116,Australia,Ansett Worldwide Av. Equipment,1986,CF,737-300,Apr,1986,Oceania,6,6,
117,Australia,Ansett Worldwide Av. Equipment,1987,CF,737-300,Apr,1986,Oceania,4,4,
118,Australia,Ansett Worldwide Av. Equipment,1988,CF,737-300,Apr,1986,Oceania,2,2,
119,Australia,Ansett Worldwide Av. Equipment,1989,CF,737-300,Jul,1987,Oceania,3,3,
120,Australia,Ansett Worldwide Av. Equipment,1990,CF,737-300,Jul,1987,Oceania,3,3,
121,Australia,Ansett Worldwide Av. Equipment,1991,CF,737-300,Jul,1987,Oceania,9,9,
122,Australia,Ansett Worldwide Av. Equipment,1988,CF,737-300,Oct,1987,Oceania,5,5,
123,Australia,Ansett Worldwide Av. Equipment,1989,CF,737-300,Oct,1987,Oceania,5,5,
124,Australia,Ansett Worldwide Av. Equipment,1991,CF,737-300,Nov,1990,Oceania,3,3,
125,Australia,Ansett Worldwide Av. Equipment,1991,CF,737-300,Nov,1991,Oceania,1,1,
126,Australia,Ansett Worldwide Av. Equipment,1987,CF,737-300,Dec,1986,Oceania,5,5,
127,Australia,Ansett Worldwide Av. Equipment,1988,CF,737-300,Dec,1986,Oceania,1,1,
128,Australia,Ansett Worldwide Av. Equipment,1991,CF,737-300,Dec,1991,Oceania,1,1,
129,Australia,Ansett Worldwide Av. Equipment,1991,CF,737-500,Dec,1991,Oceania,1,1,
130,Australia,Australian Airlines Limited,1992,CF,737-400,Mar,1990,Oceania,2,2,
131,Australia,Australian Airlines Limited,1967,PW,DC-9,Apr,1965,Oceania,2,2,
132,Australia,Australian Airlines Limited,1986,CF,737-300,Jun,1985,Oceania,8,8,
133,Australia,Australian Airlines Limited,1987,CF,737-300,Jun,1985,Oceania,4,4,
134,Australia,Australian Airlines Limited,1990,CF,737-400,Jul,1988,Oceania,6,6,
135,Australia,Australian Airlines Limited,1991,CF,737-400,Jul,1988,Oceania,3,3,
136,Australia,Australian Airlines Limited,1968,PW,DC-9,Sep,1966,Oceania,2,2,
137,Australia,Australian Airlines Limited,1969,PW,DC-9,Sep,1966,Oceania,1,1,
138,Australia,Australian Airlines Limited,1967,PW,DC-9,Oct,1965,Oceania,1,1,
139,Australia,Australian Airlines Limited,1988,CF,737-300,Oct,1987,Oceania,2,2,
140,Australia,Australian Airlines Limited,1989,CF,737-300,Oct,1987,Oceania,2,2,
141,Australia,Australian Airlines Limited,1992,CF,737-400,Oct,1990,Oceania,3,3,
142,Australia,Australian Airlines Limited,1993,CF,737-400,Nov,1992,Oceania,2,2,
143,Australia,Australian Airlines Limited,1994,CF,737-400,Nov,1992,Oceania,1,1,
144,Australia,Australian Airlines Limited,1970,PW,DC-9,Dec,1968,Oceania,2,2,
145,Australia,Australian Airlines Limited,1971,PW,DC-9,Dec,1968,Oceania,4,4,
146,Australia,Australian Wedgetail,2002,CF,737-700W,Oct,2001,Oceania,1,1,
147,Australia,Australian Wedgetail,2003,CF,737-700W,Oct,2001,Oceania,1,1,
148,Australia,Australian Wedgetail,2005,CF,737-700W,Oct,2001,Oceania,1,1,
149,Australia,Australian Wedgetail,2006,CF,737-700W,Oct,2001,Oceania,1,1,
150,Australia,Australian Wedgetail,2006,CF,737-700W,Oct,2003,Oceania,2,2,
151,Australia,BDS Australia P-8,2017,CF,737-800A,Jan,2016,Oceania,3,3,
152,Australia,BDS Australia P-8,2018,CF,737-800A,Jan,2016,Oceania,1,1,
153,Australia,BDS Australia P-8,,CF,737-800A,Mar,2021,Oceania,0,2,2
154,Australia,BDS Australia P-8,2019,CF,737-800A,Mar,2017,Oceania,4,4,
155,Australia,Jetstar - Duplicated (See JSA),2001,RR,717-200,Feb,2001,Oceania,1,1,
156,Australia,Jetstar - Duplicated (See JSA),2000,RR,717-200,Dec,2000,Oceania,2,2,
157,Australia,Qantas Airways,1980,RR,747-200,Jan,1980,Oceania,2,2,
158,Australia,Qantas Airways,1981,RR,747-100,Jan,1980,Oceania,2,2,
159,Australia,Qantas Airways,1981,RR,747-200,Jan,1980,Oceania,1,1,
160,Australia,Qantas Airways,1991,GE,767-300ER,Jan,1990,Oceania,4,4,
161,Australia,Qantas Airways,1991,RR,747-400,Jan,1990,Oceania,1,1,
162,Australia,Qantas Airways,1976,PW,747-200,Feb,1976,Oceania,1,1,
163,Australia,Qantas Airways,1978,PW,747-200,Feb,1978,Oceania,2,2,
164,Australia,Qantas Airways,1979,RR,747-200,Feb,1979,Oceania,2,2,
165,Australia,Qantas Airways,2014,CF,737-800,Feb,2013,Oceania,5,5,
166,Australia,Qantas Airways,,GE,787-8,Mar,2006,Oceania,0,16,
167,Australia,Qantas Airways,,GE,787-9,Mar,2006,Oceania,0,15,
168,Australia,Qantas Airways,1961,PW,707/720,Mar,1960,Oceania,3,3,
169,Australia,Qantas Airways,1986,RR,747-300,Mar,1985,Oceania,1,1,
170,Australia,Qantas Airways,1986,RR,747-300,Mar,1986,Oceania,1,1,
171,Australia,Qantas Airways,1988,GE,767-300ER,Mar,1988,Oceania,1,1,
172,Australia,Qantas Airways,1989,RR,747-400,Mar,1987,Oceania,3,3,
173,Australia,Qantas Airways,1990,RR,747-400,Mar,1987,Oceania,1,1,
174,Australia,Qantas Airways,2005,CF,737-800,Mar,2004,Oceania,3,3,
175,Australia,Qantas Airways,2006,CF,737-800,Mar,2004,Oceania,2,2,
176,Australia,Qantas Airways,2013,GE,787-8,Mar,2006,Oceania,3,3,
177,Australia,Qantas Airways,2014,GE,787-8,Mar,2006,Oceania,4,4,
178,Australia,Qantas Airways,2015,GE,787-8,Mar,2006,Oceania,4,4,
179,Australia,Qantas Airways,2018,GE,787-9,Mar,2006,Oceania,3,3,
180,Australia,Qantas Airways,1974,PW,747-200,Apr,1974,Oceania,1,1,
181,Australia,Qantas Airways,1975,PW,747-200,Apr,1974,Oceania,2,2,
182,Australia,Qantas Airways,1988,GE,767-300ER,Apr,1987,Oceania,1,1,
183,Australia,Qantas Airways,1990,GE,767-300ER,Apr,1989,Oceania,3,3,
184,Australia,Qantas Airways,1990,RR,747-400,Apr,1989,Oceania,1,1,
185,Australia,Qantas Airways,1991,RR,747-400,Apr,1989,Oceania,1,1,
186,Australia,Qantas Airways,,GE,787-9,May,2018,Oceania,0,3,3
187,Australia,Qantas Airways,1964,PW,707/720,May,1963,Oceania,2,2,
188,Australia,Qantas Airways,1996,CF,737-400,May,1995,Oceania,3,3,
189,Australia,Qantas Airways,1996,GE,767-300ER,May,1995,Oceania,2,2,
190,Australia,Qantas Airways,2019,GE,787-9,May,2018,Oceania,3,3,
191,Australia,Qantas Airways,1961,PW,707/720,Jun,1961,Oceania,1,1,
192,Australia,Qantas Airways,1997,GE,767-300ER,Jun,1997,Oceania,2,2,
193,Australia,Qantas Airways,1972,PW,747-200,Jul,1971,Oceania,1,1,
194,Australia,Qantas Airways,1977,PW,747-200,Jul,1976,Oceania,3,3,
195,Australia,Qantas Airways,1989,GE,767-300ER,Jul,1988,Oceania,1,1,
196,Australia,Qantas Airways,1990,RR,747-400,Jul,1988,Oceania,2,2,
197,Australia,Qantas Airways,1994,GE,767-300ER,Jul,1992,Oceania,2,2,
198,Australia,Qantas Airways,1965,PW,707/720,Aug,1964,Oceania,2,2,
199,Australia,Qantas Airways,1966,PW,707/720,Aug,1964,Oceania,1,1,
200,Australia,Qantas Airways,1967,PW,707/720,Aug,1966,Oceania,2,2,
201,Australia,Qantas Airways,1974,PW,747-200,Aug,1973,Oceania,2,2,
202,Australia,Qantas Airways,2003,CF,737-800,Aug,2002,Oceania,4,4,
203,Australia,Qantas Airways,1959,PW,707/720,Sep,1956,Oceania,7,7,
204,Australia,Qantas Airways,1973,PW,747-200,Sep,1972,Oceania,1,1,
205,Australia,Qantas Airways,1984,RR,747-300,Sep,1983,Oceania,1,1,
206,Australia,Qantas Airways,1985,PW,767-200ER,Sep,1983,Oceania,4,4,
207,Australia,Qantas Airways,1985,RR,747-300,Sep,1983,Oceania,2,2,
208,Australia,Qantas Airways,1986,PW,767-200ER,Sep,1983,Oceania,2,2,
209,Australia,Qantas Airways,1987,RR,747-300,Sep,1986,Oceania,1,1,
210,Australia,Qantas Airways,1991,RR,747-400,Sep,1989,Oceania,2,2,
211,Australia,Qantas Airways,1967,PW,707/720,Oct,1965,Oceania,3,3,
212,Australia,Qantas Airways,1987,PW,767-200ER,Oct,1986,Oceania,1,1,
213,Australia,Qantas Airways,1988,GE,767-300ER,Oct,1987,Oceania,2,2,
214,Australia,Qantas Airways,1990,RR,747-400,Oct,1988,Oceania,2,2,
215,Australia,Qantas Airways,1998,GE,767-300ER,Oct,1997,Oceania,2,2,
216,Australia,Qantas Airways,1999,RR,747-400,Oct,1997,Oceania,2,2,
217,Australia,Qantas Airways,2000,RR,747-400,Oct,1997,Oceania,1,1,
218,Australia,Qantas Airways,2003,CF,737-800,Oct,2002,Oceania,2,2,
219,Australia,Qantas Airways,2004,CF,737-800,Oct,2002,Oceania,2,2,
220,Australia,Qantas Airways,2017,GE,787-9,Oct,2015,Oceania,2,2,
221,Australia,Qantas Airways,2018,GE,787-9,Oct,2015,Oceania,3,3,
222,Australia,Qantas Airways,,GE,787-9,Nov,2007,Oceania,0,20,
223,Australia,Qantas Airways,1967,PW,707/720,Nov,1966,Oceania,1,1,
224,Australia,Qantas Airways,1968,PW,707/720,Nov,1966,Oceania,9,9,
225,Australia,Qantas Airways,1971,PW,747-200,Nov,1967,Oceania,4,4,
226,Australia,Qantas Airways,1991,RR,747-400,Nov,1991,Oceania,1,1,
227,Australia,Qantas Airways,2002,CF,737-800,Nov,2001,Oceania,15,15,
228,Australia,Qantas Airways,1965,PW,707/720,Dec,1963,Oceania,3,3,
229,Australia,Qantas Airways,1992,GE,767-300ER,Dec,1991,Oceania,1,1,
230,Australia,Qantas Airways,1992,RR,747-400,Dec,1991,Oceania,4,4,
231,Australia,Qantas Airways,2000,GE,767-300ER,Dec,1999,Oceania,1,1,
232,Australia,Qantas Airways,2002,GE,747-400ER,Dec,2000,Oceania,3,3,
233,Australia,Qantas Airways,2003,GE,747-400ER,Dec,2000,Oceania,3,3,
234,Australia,Qantas Airways,2004,CF,737-800,Dec,2003,Oceania,1,1,
235,Australia,Qantas Airways,2005,CF,737-800,Dec,2003,Oceania,2,2,
236,Australia,Qantas Airways,2006,CF,737-800,Dec,2003,Oceania,2,2,
237,Australia,Qantas Airways,2008,CF,737-800,Dec,2006,Oceania,5,5,
238,Australia,Qantas Airways,2009,CF,737-800,Dec,2007,Oceania,3,3,
239,Australia,Qantas Airways,2011,CF,737-800,Dec,2007,Oceania,15,15,
240,Australia,Qantas Airways,2012,CF,737-800,Dec,2007,Oceania,5,5,
241,Australia,Qantas Airways,2013,CF,737-800,Dec,2007,Oceania,8,8,
242,Australia,Trans-Australia Airlines,1964,PW,727,Feb,1963,Oceania,2,2,
243,Australia,Trans-Australia Airlines,1969,PW,727,Feb,1969,Oceania,1,1,
244,Australia,Trans-Australia Airlines,1974,PW,727,Feb,1974,Oceania,1,1,
245,Australia,Trans-Australia Airlines,1975,PW,727,Feb,1974,Oceania,1,1,
246,Australia,Trans-Australia Airlines,1976,PW,727,Feb,1976,Oceania,1,1,
247,Australia,Trans-Australia Airlines,1979,PW,727,Feb,1978,Oceania,1,1,
248,Australia,Trans-Australia Airlines,1965,PW,727,May,1964,Oceania,1,1,
249,Australia,Trans-Australia Airlines,1970,PW,727,May,1969,Oceania,1,1,
250,Australia,Trans-Australia Airlines,1978,PW,727,Jun,1977,Oceania,1,1,
251,Australia,Trans-Australia Airlines,1979,PW,727,Jun,1977,Oceania,1,1,
252,Australia,Trans-Australia Airlines,1980,PW,727,Jun,1979,Oceania,2,2,
253,Australia,Trans-Australia Airlines,1966,PW,727,Oct,1965,Oceania,1,1,
254,Australia,Trans-Australia Airlines,1972,PW,727,Dec,1970,Oceania,1,1,
255,Australia,Trans-Australia Airlines,1973,PW,727,Dec,1970,Oceania,1,1,
256,Australia,Trans-Australia Airlines,1974,PW,727,Dec,1970,Oceania,2,2,
257,Australia,Virgin Australia,,GE,777-300ER,Mar,2007,Oceania,0,2,
258,Australia,Virgin Australia,2009,GE,777-300ER,Mar,2007,Oceania,3,3,
259,Australia,Virgin Australia,2010,GE,777-300ER,Mar,2007,Oceania,1,1,
260,Australia,Virgin Australia Airlines,2005,CF,737-800,Jan,2004,Oceania,2,2,
261,Australia,Virgin Australia Airlines,2017,CF,737-800,Jan,2012,Oceania,1,1,
262,Australia,Virgin Australia Airlines,,CF,737 MAX,Feb,2014,Oceania,0,9,
263,Australia,Virgin Australia Airlines,,CF,737-800,Mar,2010,Oceania,0,16,
264,Australia,Virgin Australia Airlines,2011,CF,737-800,Mar,2010,Oceania,4,4,
265,Australia,Virgin Australia Airlines,2012,CF,737-800,Mar,2010,Oceania,3,3,
266,Australia,Virgin Australia Airlines,2013,CF,737-800,Mar,2009,Oceania,2,2,
267,Australia,Virgin Australia Airlines,2013,CF,737-800,Mar,2010,Oceania,3,3,
268,Australia,Virgin Australia Airlines,2014,CF,737-800,Mar,2009,Oceania,2,2,
269,Australia,Virgin Australia Airlines,2015,CF,737-800,Mar,2009,Oceania,1,1,
270,Australia,Virgin Australia Airlines,2015,CF,737-800,Mar,2010,Oceania,4,4,
271,Australia,Virgin Australia Airlines,2016,CF,737-800,Mar,2010,Oceania,1,1,
272,Australia,Virgin Australia Airlines,2017,CF,737-800,Mar,2010,Oceania,2,2,
273,Australia,Virgin Australia Airlines,2007,CF,737-800,Apr,2006,Oceania,2,2,
274,Australia,Virgin Australia Airlines,2008,CF,737-800,Apr,2006,Oceania,3,3,
275,Australia,Virgin Australia Airlines,2009,CF,737-800,Apr,2006,Oceania,3,3,
276,Australia,Virgin Australia Airlines,2010,CF,737-800,Apr,2006,Oceania,1,1,
277,Australia,Virgin Australia Airlines,,CF,737 MAX,May,2015,Oceania,0,4,
278,Australia,Virgin Australia Airlines,2017,CF,737-800,May,2011,Oceania,1,1,
279,Australia,Virgin Australia Airlines,,CF,737-800,Jun,2011,Oceania,0,1,
280,Australia,Virgin Australia Airlines,2005,CF,737-700,Jun,2004,Oceania,2,2,
281,Australia,Virgin Australia Airlines,2011,CF,737-800,Jun,2007,Oceania,2,2,
282,Australia,Virgin Australia Airlines,2012,CF,737-800,Jun,2007,Oceania,8,8,
283,Australia,Virgin Australia Airlines,,CF,737 MAX,Jul,2012,Oceania,0,23,
284,Australia,Virgin Australia Airlines,2011,CF,737-800,Jul,2010,Oceania,1,1,
285,Australia,Virgin Australia Airlines,2017,CF,737-800,Jul,2012,Oceania,1,1,
286,Australia,Virgin Australia Airlines,2018,CF,737-800,Jul,2012,Oceania,1,1,
287,Australia,Virgin Australia Airlines,2011,CF,737-800,Aug,2010,Oceania,1,1,
288,Australia,Virgin Australia Airlines,2004,CF,737-800,Oct,2003,Oceania,2,2,
289,Australia,Virgin Australia Airlines,,CF,737 MAX,Nov,2013,Oceania,0,4,
290,Australia,Virgin Australia Airlines,,CF,737 MAX,Nov,2015,Oceania,0,8,
291,Australia,Virgin Australia Airlines,,CF,737 MAX,Nov,2020,Oceania,0,25,25
292,Australia,Virgin Australia Airlines,2004,CF,737-800,Nov,2003,Oceania,3,3,
293,Australia,Virgin Australia Airlines,2003,CF,737-800,Dec,2002,Oceania,7,7,
294,Australia,Virgin Australia Airlines,2004,CF,737-800,Dec,2002,Oceania,3,3,
295,Australia,Virgin Australia Airlines,2006,CF,737-800,Dec,2004,Oceania,4,4,
296,Australia,Virgin Australia Airlines,2010,CF,737-800,Dec,2006,Oceania,3,3,
297,Australia,Virgin Australia Airlines,2011,CF,737-800,Dec,2006,Oceania,2,2,
298,Australia,Virgin Australia Airlines,2012,CF,737-800,Dec,2010,Oceania,1,1,
299,Australia,Virgin Australia Airlines,2013,CF,737-800,Dec,2011,Oceania,1,1,
300,Austria,Austrian Airlines,,NS,MD-80,Jan,1981,Europe,0,1,
301,Austria,Austrian Airlines,1978,PW,DC-9,Jan,1977,Europe,1,1,
302,Austria,Austrian Airlines,,NS,DC-9,Feb,1974,Europe,0,1,
303,Austria,Austrian Airlines,,CF,737-800,Mar,2003,Europe,0,0,
304,Austria,Austrian Airlines,1971,PW,DC-9,Mar,1970,Europe,5,5,
305,Austria,Austrian Airlines,1972,PW,DC-9,Mar,1971,Europe,1,1,
306,Austria,Austrian Airlines,2005,CF,737-800,Mar,2003,Europe,1,0,
307,Austria,Austrian Airlines,2006,CF,737-800,Mar,2003,Europe,1,0,
308,Austria,Austrian Airlines,1984,PW,MD-80,Apr,1979,Europe,1,1,
309,Austria,Austrian Airlines,1985,PW,MD-80,Apr,1984,Europe,1,1,
310,Austria,Austrian Airlines,1986,PW,MD-80,May,1984,Europe,1,1,
311,Austria,Austrian Airlines,1972,PW,DC-9,Jun,1971,Europe,1,1,
312,Austria,Austrian Airlines,2005,CF,737-800,Jun,2004,Europe,1,1,
313,Austria,Austrian Airlines,1975,PW,DC-9,Jul,1973,Europe,2,2,
314,Austria,Austrian Airlines,1990,PW,MD-80,Sep,1988,Europe,1,1,
315,Austria,Austrian Airlines,1991,PW,MD-80,Sep,1988,Europe,1,1,
316,Austria,Austrian Airlines,1993,PW,MD-80,Sep,1990,Europe,1,1,
317,Austria,Austrian Airlines,2007,GE,777-200ER,Sep,2005,Europe,1,1,
318,Austria,Austrian Airlines,1971,PW,DC-9,Oct,1970,Europe,2,2,
319,Austria,Austrian Airlines,1977,PW,DC-9,Oct,1976,Europe,1,1,
320,Austria,Austrian Airlines,1980,PW,MD-80,Oct,1977,Europe,1,1,
321,Austria,Austrian Airlines,1981,PW,MD-80,Oct,1977,Europe,4,4,
322,Austria,Austrian Airlines,1982,PW,MD-80,Oct,1977,Europe,2,2,
323,Austria,Austrian Airlines,1983,PW,MD-80,Oct,1977,Europe,1,1,
324,Austria,Austrian Airlines,1985,PW,MD-80,Nov,1983,Europe,2,2,
325,Austria,Austrian Airlines,1976,PW,DC-9,Dec,1974,Europe,1,1,
